Date3,DSG2yr
1997-06-30,5.070952380952381
1997-07-31,5.19195652173913
1997-08-31,5.27952380952381
1997-09-30,5.090795454545455
1997-10-31,5.11195652173913
1997-11-30,5.2805
1997-12-31,5.307173913043478
1998-01-31,5.184659090909091
1998-02-28,5.22875
1998-03-31,5.161818181818182
1998-04-30,5.083636363636364
1998-05-31,5.14202380952381
1998-06-30,5.124090909090909
1998-07-31,5.093695652173913
1998-08-31,5.040952380952381
1998-09-30,4.747272727272727
1998-10-31,4.065568181818182
1998-11-30,4.531428571428571
1998-12-31,4.499891304347826
1999-01-31,4.446666666666667
1999-02-28,4.55525
1999-03-31,4.566521739130435
1999-04-30,4.409090909090909
1999-05-31,4.6363095238095235
1999-06-30,4.715454545454545
1999-07-31,4.686931818181818
1999-08-31,4.873636363636364
