Date3,DSG(30 year)
1993-01-31,7.342499999999999
1993-02-28,7.091875
1993-03-31,6.821739130434783
1993-04-30,6.853409090909091
1993-05-31,6.918333333333333
1993-06-30,6.807272727272727
1993-07-31,6.628068181818182
1993-08-31,6.323181818181817
1993-09-30,5.992613636363637
1993-10-31,5.938095238095238
1993-11-30,6.212045454545454
1993-12-31,6.250543478260869
1994-01-31,6.2907142857142855
1994-02-28,6.4963750000000005
1994-03-31,6.906521739130435
1994-04-30,7.262142857142857
1994-05-31,7.413181818181818
1994-06-30,7.395
1994-07-31,7.580238095238095
1994-08-31,7.486086956521739
1994-09-30,7.704431818181818
1994-10-31,7.932023809523809
1994-11-30,8.077954545454546
1994-12-31,7.867386363636364
1995-01-31,7.847045454545454
1995-02-28,7.61125
1995-03-31,7.447826086956522
