Date3,AAA-Bond
1999-02-28,6.395263157894737
1999-03-31,6.62304347826087
1999-04-30,6.637272727272728
1999-05-31,6.933
1999-06-30,7.233181818181818
1999-07-31,7.190476190476191
1999-08-31,7.3963636363636365
1999-09-30,7.395714285714286
1999-10-31,7.554
1999-11-30,7.357619047619047
1999-12-31,7.546363636363637
2000-01-31,7.780500000000001
2000-02-29,7.677
2000-03-31,7.681739130434783
2000-04-30,7.642631578947369
2000-05-31,7.988636363636363
2000-06-30,7.668636363636364
2000-07-31,7.6455
2000-08-31,7.54695652173913
2000-09-30,7.6235
2000-10-31,7.548571428571429
2000-11-30,7.453809523809523
2000-12-31,7.212000000000001
2001-01-31,7.150952380952382
2001-02-28,7.101052631578947
2001-03-31,6.9781818181818185
2001-04-30,7.2015
2001-05-31,7.288636363636363
