Date3,BAA-Bond
2002-04-30,8.032727272727273
2002-05-31,8.087727272727273
2002-06-30,7.95
2002-07-31,7.8977272727272725
2002-08-31,7.581818181818182
2002-09-30,7.395999999999999
2002-10-31,7.733636363636364
2002-11-30,7.617368421052631
2002-12-31,7.448571428571428
2003-01-31,7.347619047619048
2003-02-28,7.056842105263159
2003-03-31,6.94904761904762
2003-04-30,6.852857142857142
2003-05-31,6.378095238095238
2003-06-30,6.190476190476191
2003-07-31,6.616363636363636
2003-08-31,7.011904761904762
2003-09-30,6.79
2003-10-31,6.732727272727273
2003-11-30,6.657777777777778
2003-12-31,6.596363636363637
2004-01-31,6.442
2004-02-29,6.265263157894737
2004-03-31,6.114347826086957
2004-04-30,6.4590476190476185
2004-05-31,6.747
2004-06-30,6.783809523809524
