Date3,GDP
1964-01-31,669.822
1964-02-29,672.6743111111111
1964-03-31,675.7233333333334
1964-04-30,678.674
1964-05-31,683.1747282608695
1964-06-30,687.5302717391304
1964-07-31,692.031
1964-08-31,693.8128260869564
1964-09-30,695.5371739130435
1964-10-31,697.319
1964-11-30,703.9943260869564
1964-12-31,710.8921630434783
1965-01-31,717.79
1965-02-28,721.6914382022471
1965-03-31,726.0108876404495
1965-04-30,730.191
1965-05-31,736.637652173913
1965-06-30,742.876347826087
1965-07-31,749.323
1965-08-31,756.9159782608696
1965-09-30,764.2640217391304
1965-10-31,771.857
1965-11-30,779.6429782608695
1965-12-31,787.6884891304348
1966-01-31,795.734
1966-02-28,798.6431685393259
1966-03-31,801.8640337078651
1966-04-30,804.981
1966-05-31,809.9197717391304
