observation_date,CCUSSP02IDM650N
2019-12-01,13901.005
2020-01-01,13662.000
2020-02-01,14234.000
2020-03-01,16367.005
2020-04-01,15157.005
2020-05-01,14733.005
2020-06-01,14302.000
2020-07-01,14653.005
2020-08-01,14554.000
2020-09-01,14918.000
2020-10-01,14690.000
2020-11-01,14128.000
2020-12-01,14105.005
2021-01-01,14084.000
2021-02-01,14229.005
2021-03-01,14572.000
2021-04-01,14468.000
2021-05-01,14310.000
2021-06-01,14496.000
2021-07-01,14491.005
2021-08-01,14374.000
2021-09-01,14307.005
2021-10-01,14199.005
2021-11-01,14340.000
2021-12-01,14269.005
2022-01-01,14381.005
2022-02-01,14371.005
2022-03-01,14349.005
2022-04-01,14418.000
2022-05-01,14544.000
2022-06-01,14848.000
2022-07-01,14958.000
2022-08-01,14875.005
2022-09-01,15247.000
2022-10-01,15542.000
2022-11-01,15737.000
2022-12-01,15731.000
2023-01-01,14979.000
2023-02-01,15274.000
2023-03-01,15062.000
2023-04-01,14751.000
2023-05-01,14969.000
2023-06-01,15026.000
2023-07-01,15083.000
2023-08-01,15239.000
2023-09-01,15526.000
2023-10-01,15916.000
2023-11-01,15384.000
2023-12-01,15416.000
